lecture,hypothesis_testing.pdf,CMU PDS,need description,抽样方法~中心极限定理~P值~t检验~A/B测试,http://www.datasciencecourse.org/notes/hypothesis_testing/hypothesis_testing.pdf
video,Lecture 17 Hypothesis testing and experimental design,CMU PDS,need description,抽样方法~中心极限定理~P值~t检验~A/B测试,https://scs.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=2381c1ec-ba25-48e6-ac09-a8af01386c20
lecture,data_scientists_ethics.pdf,CMU PDS,need description,隐私~道德~法律,http://www.datasciencecourse.org/notes/future/data_scientists_ethics.pdf
video,Lecture 28 The future of data science,CMU PDS,need description,隐私~道德~法律,https://scs.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=fe78a4a5-883a-4b65-94e7-a8d401388dca
lecture,w01-00-HelloWorld.pdf,UCSD COGS108,need description,概念~对比,https://github.com/COGS108/Lectures/blob/master/w01-00-HelloWorld.pdf
lecture,w01-01-Introductions.pdf,UCSD COGS108,need description,技能,https://github.com/COGS108/Lectures/blob/master/w01-01-Introductions.pdf
lecture,w02-02-Python.pdf,UCSD COGS108,need description,Jupyter,https://github.com/COGS108/Lectures/blob/master/w02-02-Python.pdf
lecture,w02-03-Python:DataScience.pdf,UCSD COGS108,need description,数据格式~描述数据~关系数据,https://github.com/COGS108/Lectures/blob/master/w02-03-Python:DataScience.pdf
lecture,w03-04-DataWrangling,UCSD COGS108,need description,API~爬虫,https://github.com/COGS108/Lectures/tree/master/w03-04-DataWrangling
lecture,w04-06-DataVisualization.pdf,UCSD COGS108,need description,数据可视化~常用图表~探索性分析,https://github.com/COGS108/Lectures/blob/master/w04-06-DataVisualization.pdf
lecture,w04-07-DataScienceEthics.pdf,UCSD COGS108,need description,隐私~道德~法律,https://github.com/COGS108/Lectures/blob/master/w04-07-DataScienceEthics.pdf
lecture,w05-09-LinearModels.pdf,UCSD COGS108,need description,概率分布~t检验~一元线性回归,https://github.com/COGS108/Lectures/blob/master/w05-09-LinearModels.pdf
ipynb,w06-11-CentralLimitTheorem.ipynb,UCSD COGS108,need description,抽样分布~中心极限定理,https://github.com/COGS108/Lectures/blob/master/w06-11-CentralLimitTheorem.ipynb
ipynb,w06-12-Nonparametric.ipynb,UCSD COGS108,need description,t检验~KS检验,https://github.com/COGS108/Lectures/blob/master/w06-12-Nonparametric.ipynb
lecture,w07-13-CentralLimit%2BText.pdf,UCSD COGS108,need description,TFIDF~词向量~词可视化,https://github.com/COGS108/Lectures/blob/master/w07-13-CentralLimit%2BText.pdf
lecture,w07-15-IntroML.pdf,UCSD COGS108,need description,交叉验证~模型选择,https://github.com/COGS108/Lectures/blob/master/w07-15-IntroML.pdf
lecture,Lecture0-Introduction,Harvard CS109,need description,概念~过程~对比,https://github.com/cs109/a-2017/tree/master/Lectures/Lecture0-Introduction
lecture,Lecture1_EDA.pdf,Harvard CS109,need description,API~爬虫~数据类型~数据格式~数据缺失~变量定义~数据汇总~数据可视化,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture1-StatsAndEDA/Lecture1_EDA.pdf
ipynb,Lecture1_Notebook.ipynb,Harvard CS109,need description,API~爬虫~数据类型~数据格式~数据缺失~变量定义~数据汇总~数据可视化,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture1-StatsAndEDA/Lecture1_Notebook.ipynb
lecture,PandasAndScraping.pdf,Harvard CS109,need description,API~爬虫~关系数据,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture2-PandasAndScraping/PandasAndScraping.pdf
ipynb,Lecture2-PandasAndScraping,Harvard CS109,need description,API~爬虫~关系数据,https://github.com/cs109/a-2017/tree/master/Lectures/Lecture2-PandasAndScraping
lecture,Lecture12_kNN_Classification_and_Missingness_Module_2.pdf,Harvard CS109,need description,数据缺失,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture12_kNN_Classification_and_Missingness_Module_2.pdf
lecture,EDA.pdf,Harvard CS109,need description,数据可视化~常用图表~探索性分析,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture3-EDAViz/EDA.pdf
ipynb,Lecture3-EDAViz,Harvard CS109,need description,数据可视化~常用图表~探索性分析,https://github.com/cs109/a-2017/tree/master/Lectures/Lecture3-EDAViz
lecture,Lecture4_Intro_Regression_Module1_L1.pdf,Harvard CS109,need description,kNN~一元线性回归,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture4-IntroRegression/Lecture4_Intro_Regression_Module1_L1.pdf
ipynb,Lecture4_Notebook.ipynb,Harvard CS109,need description,kNN~一元线性回归,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture4-IntroRegression/Lecture4_Notebook.ipynb
lecture,Lecture5_MultLinearRegression_Module1_L2.pdf,Harvard CS109,need description,多元线性回归~非线性回归~F检验~P值~卡方检验~模型评估,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture4-IntroRegression/Lecture5_MultLinearRegression_Module1_L2.pdf
ipynb,Lecture5_Notebook.ipynb,Harvard CS109,need description,多元线性回归~非线性回归~F检验~P值~卡方检验~模型评估,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture4-IntroRegression/Lecture5_Notebook.ipynb
lecture,Lecture6_ModelSelection_Module1_L3.pdf,Harvard CS109,need description,交叉验证~模型选择,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture6-ModelSelection/Lecture6_ModelSelection_Module1_L3.pdf
ipynb,Lecture_6_Notebook.ipynb,Harvard CS109,need description,交叉验证~模型选择,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture6-ModelSelection/Lecture_6_Notebook.ipynb
lecture,Lecture7_Regularization_Module1.pdf,Harvard CS109,need description,点估计~正则化,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture7-Regularization/Lecture7_Regularization_Module1.pdf
ipynb,Lecture7_notebook.ipynb,Harvard CS109,need description,点估计~正则化,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture7-Regularization/Lecture7_notebook.ipynb
lecture,VIZComm.pdf,Harvard CS109,need description,交流,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture9-Vizcomm/VIZComm.pdf
lecture,Lecture10_Logistic_Regression_Module_2.pdf,Harvard CS109,need description,逻辑回归~贝叶斯分类器,https://github.com/cs109/a-2017/blob/master/Lectures/Lecture10-LogReg/Lecture10_Logistic_Regression_Module_2.pdf
